"time","Air Temperature_average_ºC","Apparent Temperature_average_ºC","Delta T_average_ºC","Dew Point_average_ºC","Rainfall_raw_mm","Relative Humidity_average_%RH","Soil Temperature_average_ºC","Solar Radiation_average_W/m^2","Voltage_average_V","Wind Direction_average_º","Wind Speed_average_km/h","Wind Speed_maximum_km/h","Wind Speed_minimum_km/h"
2020-12-31 22:30:00,18.5,17.846812,3.593011,12.966303,0,70.2,24.8,570,12.65,160.492795,8.1,12.528,1.62
2020-12-31 22:45:00,18.9,18.710524,3.865136,12.906503,0,68.2,24.7,618,12.65,174.503107,5.616,10.836,0
2020-12-31 23:00:00,20,19.667804,4.313348,13.288029,0,65.3,24.7,693,12.76,141.857072,6.984,15.048,2.448
2020-12-31 23:15:00,20.3,19.482445,4.312773,13.619958,0,65.5,24.7,788,12.87,124.520383,10.044,16.74,4.968
2020-12-31 23:30:00,20.5,19.766629,4.432162,13.620706,0,64.7,24.8,848,12.98,133.334894,9.612,15.048,4.968
2020-12-31 23:45:00,20.9,20.530597,4.648649,13.662923,0,63.3,24.8,666,12.98,147.16503,7.812,16.74,1.62
2021-01-01 00:00:00,21.1,20.324746,4.745428,13.705377,0,62.7,24.8,779,13.09,133.354023,9.972,15.048,4.14
2021-01-01 00:15:00,21.8,20.893019,5.226846,13.584312,0,59.6,25,1039,13.2,122.07925,10.44,17.568,4.968
2021-01-01 00:30:00,22.2,21.81601,5.391232,13.725334,0,58.7,25.1,694,13.2,125.482051,7.992,15.876,2.448
2021-01-01 00:45:00,22.2,21.860048,5.322707,13.856019,0,59.2,25.3,848,13.2,133.64414,7.992,15.048,2.448
2021-01-01 01:00:00,23.2,23.198884,5.766049,14.152956,0,56.8,25.4,943,13.2,136.405749,6.768,18.396,0.792
2021-01-01 01:15:00,23.8,23.548966,5.819498,14.740141,0,56.9,25.8,992,13.2,133.334894,9.108,17.568,2.448
2021-01-01 01:30:00,24.4,24.170819,6.181659,14.743445,0,54.9,26,1075,13.31,133.659992,9,17.568,0
2021-01-01 01:45:00,24.9,24.73489,6.452689,14.806184,0,53.5,26.1,829,13.2,161.40228,8.784,18.396,2.448
2021-01-01 02:00:00,25.3,24.889156,6.65633,14.883071,0,52.5,26.4,844,13.2,173.275647,10.188,17.568,3.312
2021-01-01 02:15:00,25.4,25.0013,6.66932,14.975458,0,52.5,26.7,978,13.31,184.282878,10.296,18.396,2.448
2021-01-01 02:30:00,25.4,24.748954,6.700175,14.91612,0,52.3,27,937,13.31,196.907423,11.484,20.088,3.312
2021-01-01 02:45:00,25,23.387394,6.450121,14.927817,0,53.6,27.4,860,13.31,207.897271,16.452,25.128,5.796
2021-01-01 03:00:00,23.9,22.238507,5.72972,15.023532,0,57.6,27.7,873,13.31,206.247333,16.884,26.784,10.836
2021-01-01 03:15:00,24.4,23.056436,6.019293,15.051747,0,56,28,1189,13.42,197.987335,15.3,25.128,3.312
2021-01-01 03:30:00,25.2,23.930936,6.399174,15.257687,0,54.1,28.3,1201,13.42,212.030747,15.3,24.3,6.66
2021-01-01 03:45:00,24.9,22.92274,6.166964,15.349281,0,55.4,28.6,1154,13.53,203.938646,19.116,29.304,11.7
2021-01-01 04:00:00,24.4,22.714717,5.945804,15.190127,0,56.5,28.9,1125,13.53,206.66866,17.316,25.956,10.836
2021-01-01 04:15:00,24.8,23.022959,6.140204,15.284387,0,55.5,29.2,1102,13.64,210.406732,17.964,25.128,10.836
2021-01-01 04:30:00,24.8,22.851258,6.125298,15.31245,0,55.6,29.5,1074,13.86,202.956582,18.9,27.612,10.008
2021-01-01 04:45:00,24.5,22.115339,5.883743,15.420766,0,57,29.8,1037,13.64,207.279935,21.348,28.476,11.7
2021-01-01 05:00:00,24.2,21.917214,5.704727,15.41184,0,58,30.2,987,13.31,215.162149,20.808,30.96,12.528
2021-01-01 05:15:00,24,21.788681,5.610973,15.358575,0,58.5,30.5,967,13.31,200.637547,20.34,29.304,11.7
2021-01-01 05:30:00,23.6,21.433012,5.383637,15.32627,0,59.8,30.9,940,13.31,205.213496,20.052,28.476,12.528
2021-01-01 05:45:00,23.1,20.645854,5.151292,15.191332,0,61.1,31.2,883,13.31,209.144199,21.276,30.132,13.356
2021-01-01 06:00:00,23.2,20.854671,5.300759,15.028508,0,60.1,31.7,841,13.31,206.048887,20.412,28.476,10.836
2021-01-01 06:15:00,23.4,20.851094,5.433728,15.007818,0,59.3,31.9,773,13.31,213.626757,21.42,30.132,11.7
2021-01-01 06:30:00,22.3,19.620516,4.910074,14.739628,0,62.3,32.2,504,13.2,216.278302,21.6,30.96,10.836
2021-01-01 06:45:00,21.8,19.161398,4.543025,14.853584,0,64.7,32.3,534,13.31,211.981198,21.6,30.132,13.356
