Variable,Site
SAL,EPA2014_Lake_Alexandrina_off_Rat_Island
TEMP,EPA2014_Lake_Alexandrina_off_Rat_Island
TRACE_1,No Site
WQ_NCS_SS1,EPA2014_Lake_Alexandrina_off_Rat_Island
WQ_TRC_RET,No Site
WQ_OXY_OXY,EPA2014_Lake_Alexandrina_off_Rat_Island
WQ_SIL_RSI,EPA_Mundoo
WQ_NIT_AMM,EPA2014_Lake_Alexandrina_off_Rat_Island
WQ_NIT_NIT,EPA_Mundoo
WQ_PHS_FRP,EPA_Mundoo
WQ_PHS_FRP_ADS,EPA_Mundoo
WQ_OGM_DOC,EPA2014_Lake_Alexandrina_off_Rat_Island
WQ_OGM_POC,EPA2014_Lake_Alexandrina_off_Rat_Island
WQ_OGM_DON,EPA2014_Lake_Alexandrina_Clayton_east_of_regulator
WQ_OGM_PON,SAW_Tailem_Bend
WQ_OGM_DOP,EPA_Mundoo
WQ_OGM_POP,EPA_Mundoo
WQ_PHY_GRN,EPA2014_Lake_Alexandrina_off_Rat_Island
