dc,Station Number,Year,Month,Day,Total daily global solar exposure - derived from satellite data in MJ.m-2,Quality Flag (refer to notes),Precipitation in the 24 hours before 9am (local time) in mm,Quality of precipitation value,Number of days of rain within the days of accumulation,Accumulated number of days over which the precipitation was measured,Maximum temperature in 24 hours after 9am (local time) in Degrees C,Quality of maximum temperature in 24 hours after 9am (local time),Days of accumulation of maximum temperature,Minimum temperature in 24 hours before 9am (local time) in Degrees C,Quality of minimum temperature in 24 hours before 9am (local time),Days of accumulation of minimum temperature,Air temperature observation at 00 hours Local Time in Degrees C,Quality of air temperature observation at 00 hours Local Time,Air temperature observation at 03 hours Local Time in Degrees C,Quality of air temperature observation at 03 hours Local Time,Air temperature observation at 06 hours Local Time in Degrees C,Quality of air temperature observation at 06 hours Local Time,Air temperature observation at 09 hours Local Time in Degrees C,Quality of air temperature observation at 09 hours Local Time,Air temperature observation at 12 hours Local Time in Degrees C,Quality of air temperature observation at 12 hours Local Time,Air temperature observation at 15 hours Local Time in Degrees C,Quality of air temperature observation at 15 hours Local Time,Air temperature observation at 18 hours Local Time in Degrees C,Quality of air temperature observation at 18 hours Local Time,Air temperature observation at 21 hours Local Time in Degrees C,Quality of air temperature observation at 21 hours Local Time,Relative humidity for observation at 00 hours Local Time in percentage %,Quality of relative humidity for observation at 00 hours Local Time,Relative humidity for observation at 03 hours Local Time in percentage %,Quality of relative humidity for observation at 03 hours Local Time,Relative humidity for observation at 06 hours Local Time in percentage %,Quality of relative humidity for observation at 06 hours Local Time,Relative humidity for observation at 09 hours Local Time in percentage %,Quality of relative humidity for observation at 09 hours Local Time,Relative humidity for observation at 12 hours Local Time in percentage %,Quality of relative humidity for observation at 12 hours Local Time,Relative humidity for observation at 15 hours Local Time in percentage %,Quality of relative humidity for observation at 15 hours Local Time,Relative humidity for observation at 18 hours Local Time in percentage %,Quality of relative humidity for observation at 18 hours Local Time,Relative humidity for observation at 21 hours Local Time in percentage %,Quality of relative humidity for observation at 21 hours Local Time,Speed of maximum wind gust in km/h,Quality of maximum gust speed,Direction of maximum wind gust in degrees,Quality of maximum gust direction,Time of maximum wind gust in HHMI 24 hour mode,Quality of maximum wind gust time,Wind speed at 00 hours Local Time measured in km/h,Quality of wind speed at 00 hours Local Time,Wind speed at 03 hours Local Time measured in km/h,Quality of wind speed at 03 hours Local Time,Wind speed at 06 hours Local Time measured in km/h,Quality of wind speed at 06 hours Local Time,Wind speed at 09 hours Local Time measured in km/h,Quality of wind speed at 09 hours Local Time,Wind speed at 12 hours Local Time measured in km/h,Quality of wind speed at 12 hours Local Time,Wind speed at 15 hours Local Time measured in km/h,Quality of wind speed at 15 hours Local Time,Wind speed at 18 hours Local Time measured in km/h,Quality of wind speed at 18 hours Local Time,Wind speed at 21 hours Local Time measured in km/h,Quality of wind speed at 21 hours Local Time,Wind direction at 00 hours Local Time measured in degrees,Quality of wind direction at 00 hours Local Time,Wind direction at 03 hours Local Time measured in degrees,Quality of wind direction at 03 hours Local Time,Wind direction at 06 hours Local Time measured in degrees,Quality of wind direction at 06 hours Local Time,Wind direction at 09 hours Local Time measured in degrees,Quality of wind direction at 09 hours Local Time,Wind direction at 12 hours Local Time measured in degrees,Quality of wind direction at 12 hours Local Time,Wind direction at 15 hours Local Time measured in degrees,Quality of wind direction at 15 hours Local Time,Wind direction at 18 hours Local Time measured in degrees,Quality of wind direction at 18 hours Local Time,Wind direction at 21 hours Local Time measured in degrees,Quality of wind direction at 21 hours Local Time,Total cloud amount at 00 hours in eighths,Quality of total cloud amount at 00 hours Local Time,Total cloud amount at 03 hours in eighths,Quality of total cloud amount at 03 hours Local Time,Total cloud amount at 06 hours in eighths,Quality of total cloud amount at 06 hours Local Time,Total cloud amount at 09 hours in eighths,Quality of total cloud amount at 09 hours Local Time,Total cloud amount at 12 hours in eighths,Quality of total cloud amount at 12 hours Local Time,Total cloud amount at 15 hours in eighths,Quality of total cloud amount at 15 hours Local Time,Total cloud amount at 18 hours in eighths,Quality of total cloud amount at 18 hours Local Time,Total cloud amount at 21 hours in eighths,Quality of total cloud amount at 21 hours Local Time,#
dc, 24577,1989,09,01,     , ,   0.0,Y,  ,  ,     , ,  ,     , ,  ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,     , ,     , ,    , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , , , , , , , , , , , , , , , , , ,#
dc, 24577,1989,09,02,     , ,   0.0,Y,  ,  ,     , ,  ,     , ,  ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,     , ,     , ,    , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , , , , , , , , , , , , , , , , , ,#
dc, 24577,1989,09,03,     , ,   0.0,Y,  ,  ,     , ,  ,     , ,  ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,     , ,     , ,    , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , , , , , , , , , , , , , , , , , ,#
dc, 24577,1989,09,04,     , ,   0.0,Y,  ,  ,     , ,  ,     , ,  ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,     , ,     , ,    , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , , , , , , , , , , , , , , , , , ,#
dc, 24577,1989,09,05,     , ,   0.0,Y,  ,  ,     , ,  ,     , ,  ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,     , ,     , ,    , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , , , , , , , , , , , , , , , , , ,#
dc, 24577,1989,09,06,     , ,   0.0,Y,  ,  ,     , ,  ,     , ,  ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,     , ,     , ,    , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , , , , , , , , , , , , , , , , , ,#
dc, 24577,1989,09,07,     , ,   0.0,Y,  ,  ,     , ,  ,     , ,  ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,     , ,     , ,    , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , , , , , , , , , , , , , , , , , ,#
dc, 24577,1989,09,08,     , ,   0.0,Y,  ,  ,     , ,  ,     , ,  ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,     , ,     , ,    , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , , , , , , , , , , , , , , , , , ,#
dc, 24577,1989,09,09,     , ,   0.0,Y,  ,  ,     , ,  ,     , ,  ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,     , ,     , ,    , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , , , , , , , , , , , , , , , , , ,#
dc, 24577,1989,09,10,     , ,   1.6,Y, 1, 1,     , ,  ,     , ,  ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,     , ,     , ,    , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , , , , , , , , , , , , , , , , , ,#
dc, 24577,1989,09,11,     , ,   7.0,Y, 1, 1,     , ,  ,     , ,  ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,   , ,     , ,     , ,    , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     , , , , , , , , , , , , , , , , , ,#
