Date,T.Max,T.Min,Rain,Evap,Radn,VP,RHmaxT,RHminT,Tav,Rhav,sal,trace_1,trace_2,trace_3,trace_4,trace_5
01/01/1960 00:00,29.1,15.5,0,7.8,17.7,11.7,29,66.5,22.3,47.75,0,0,0,100,0,0
02/01/1960 00:00,37.2,18.1,0,7.7,13.5,13.4,21.1,64.6,27.65,42.85,0,0,0,100,0,0
03/01/1960 00:00,34.2,20.4,0,7.7,14.6,13.8,25.7,57.6,27.3,41.65,0,0,0,100,0,0
04/01/1960 00:00,22,15.9,12.7,7.7,18.1,17,64.3,94.2,18.95,79.25,0,0,0,100,0,0
05/01/1960 00:00,26.9,9.6,0,7.6,31.5,11.9,33.6,99.6,18.25,66.6,0,0,0,100,0,0
06/01/1960 00:00,35.6,12.6,0,7.6,30.8,12.9,22.2,88.5,24.1,55.35,0,0,0,100,0,0
07/01/1960 00:00,39.8,20.7,0,7.7,19.3,13.1,17.9,53.7,30.25,35.8,0,0,0,100,0,0
08/01/1960 00:00,33,26.1,0,7.6,13.5,16.8,33.4,49.7,29.55,41.55,0,0,0,100,0,0
09/01/1960 00:00,28.1,12.4,0,7.6,29.7,12.5,32.9,86.9,20.25,59.9,0,0,0,100,0,0
10/01/1960 00:00,31.8,12.8,0,7.6,30.7,13.6,28.9,92.1,22.3,60.5,0,0,0,100,0,0
11/01/1960 00:00,28.7,16.5,0,7.7,25,14,35.6,74.6,22.6,55.1,0,0,0,100,0,0
12/01/1960 00:00,27.5,14.6,0,7.6,24.8,16.1,43.9,96.9,21.05,70.4,0,0,0,100,0,0
13/01/1960 00:00,32.7,14.4,0,7.8,31.2,16.4,33.2,100,23.55,66.6,0,0,0,100,0,0
14/01/1960 00:00,38.7,17,0,8,26.5,17.5,25.4,90.4,27.85,57.9,0,0,0,100,0,0
15/01/1960 00:00,40.6,24.1,0,8,27.7,15.1,19.8,50.3,32.35,35.05,0,0,0,100,0,0
16/01/1960 00:00,41.2,25.6,0,7.9,28.3,11.6,14.8,35.3,33.4,25.05,0,0,0,100,0,0
17/01/1960 00:00,21.1,17.3,3,8,11.7,18.4,73.6,93.2,19.2,83.4,0,0,0,100,0,0
18/01/1960 00:00,22.1,11.1,0,7.8,28.3,10.7,40.2,81,16.6,60.6,0,0,0,100,0,0
19/01/1960 00:00,23.1,11.3,0,7.7,23.9,11.6,41.1,86.7,17.2,63.9,0,0,0,100,0,0
20/01/1960 00:00,25.6,13.3,0,7.8,26.9,13.6,41.4,89.1,19.45,65.25,0,0,0,100,0,0
21/01/1960 00:00,29.9,13,0,7.7,30.2,15.1,35.8,100,21.45,67.9,0,0,0,100,0,0
22/01/1960 00:00,24.2,14.5,0,7.4,26.7,12.7,42.1,77,19.35,59.55,0,0,0,100,0,0
23/01/1960 00:00,30.2,10.5,0,7.5,28.9,12.4,28.9,97.7,20.35,63.3,0,0,0,100,0,0
24/01/1960 00:00,28.6,15.8,0,7.4,25.3,13.1,33.5,73,22.2,53.25,0,0,0,100,0,0
25/01/1960 00:00,29.6,10,0,7.3,27.4,12.1,29.2,98.6,19.8,63.9,0,0,0,100,0,0
26/01/1960 00:00,27.9,14.1,0,7.3,19,14.3,38.1,88.9,21,63.5,0,0,0,100,0,0
27/01/1960 00:00,27.4,13.2,0,7.3,29.1,12.6,34.5,83.1,20.3,58.8,0,0,0,100,0,0
28/01/1960 00:00,25.2,10.7,0,7.4,26.4,14.6,45.6,100,17.95,72.8,0,0,0,100,0,0
29/01/1960 00:00,24.7,10.2,0,7.4,30.3,10.2,32.8,82,17.45,57.4,0,0,0,100,0,0
30/01/1960 00:00,34.9,11.4,0,7.4,28.3,10.6,19,78.7,23.15,48.85,0,0,0,100,0,0
31/01/1960 00:00,35.3,22.2,0,7.5,9.5,13.8,24.1,51.6,28.75,37.85,0,0,0,100,0,0
01/02/1960 00:00,18.1,15.4,12.7,7.4,7.5,15.7,75.6,89.8,16.75,82.7,0,0,0,100,0,0
02/02/1960 00:00,21.4,10.1,5.1,7.3,22.2,11.3,44.4,91.5,15.75,67.95,0,0,0,100,0,0
03/02/1960 00:00,22.5,13.5,0,7.4,19.3,11.9,43.7,77,18,60.35,0,0,0,100,0,0
04/02/1960 00:00,22.6,9.1,0,7.4,20.7,12.2,44.5,100,15.85,72.25,0,0,0,100,0,0
05/02/1960 00:00,24.6,12,0,7.3,23.1,12.3,39.8,87.8,18.3,63.8,0,0,0,100,0,0
06/02/1960 00:00,22.6,12.7,1.3,7.2,19.6,15,54.7,100,17.65,77.35,0,0,0,100,0,0
07/02/1960 00:00,25.8,13.6,0,7.1,22.6,14.3,43.1,91.9,19.7,67.5,0,0,0,100,0,0
